工件,作业标识号,生产物流号,合作序号,开始时间,结束时间,所选机器,机器号,续作机器,锁定机器,机器容量,切换时间,深浅色,色号,机器常染颜色,能否荧光,轴型,优先级,生产顺序,开始时间,结束时间,锁定顺序,合作订单,合作生产物流号,合作染程用时
72,2213566,202404160071,8764816,4515.0,4655.0,75,1003,[],,240,60.0,增白,041040CAJ-05W0002,增白,False,M,45.9,14,4515.0,4655.0,,,,
74,2213568,202404160031,8765829,4715.0,4855.0,75,1003,[],,240,60.0,增白,041040CAJ-05W0002,增白,False,M,45.9,15,4715.0,4855.0,,,,
51,2213637,202404210080,8770305,1945.0,2555.0,76,1110,[],,240,60.0,深色,042080CJ-22B42709,深色,True,M,47.4,1,1945.0,2555.0,,,,
58,2213613,202404060159,8758507,2615.0,3225.0,76,1110,[],,240,60.0,深色,022090CJR-24B10311,深色,False,M,47.4,2,2615.0,3225.0,,,,
45,4628313,202404300064,8777239,3285.0,3410.0,76,1110,[],,240,120.0,深色,091100CDKS-22B11805,深色,True,纱架,43.5,3,3285.0,3410.0,,,,
50,2213506,202404300033,8777134,0.0,425.0,77,406,[],,240,60.0,浅色,042040CL-23G40408,浅色,True,L,47.7,1,0.0,425.0,,,,
62,2213505,202404300034,8777132,485.0,910.0,77,406,[],,240,60.0,浅浅,042040CL-23Z40711,浅色,True,L,47.7,2,485.0,910.0,,,,
61,2213127,202405030007,8777948,1500.0,1885.0,77,406,[],,240,60.0,浅浅,041060CJ-24B42064,浅色,False,M,47.4,3,1500.0,1885.0,,,,
73,2213129,202405030069,8778481,1945.0,2330.0,77,406,[],,240,60.0,浅浅,041060CJ-24R40495,浅色,False,Y,47.4,4,1945.0,2330.0,,,,
46,4628352,202405060096,8779218,2390.0,2815.0,77,406,[],,240,120.0,浅浅,041060CAJS-23R650196,浅色,False,纱架,40.5,5,2390.0,2815.0,,,,
38,4627828,202405040069,8778615,0.0,610.0,78,608,['608'],,240,120.0,深色,041060CAJ-23B405558,深色,False,纱架,76.5,1,0.0,610.0,,,,
65,2213114,202404230130,8771537,730.0,1340.0,78,608,[],,240,60.0,深色,041050CJ-23B405348,深色,True,L,47.4,2,730.0,1340.0,,,,
75,2213089,202404160037,8764792,2370.0,2980.0,78,608,[],,240,60.0,深色,041040CAJ-24K40862,深色,True,M,45.9,3,2370.0,2980.0,,,,
17,4627833,202405040070,8778611,0.0,180.0,79,1106,['1106'],,240,120.0,增白,041060CAJ-23W220244,增白,False,纱架,76.5,1,0.0,180.0,,,,
44,4627973,202404110089,8759768,300.0,910.0,79,1106,[],,240,120.0,增白,601100CDAKS-24W10011,增白,False,纱架,44.7,2,300.0,910.0,,,,
21,4628468,202405030095,8778130,1030.0,1240.0,79,1106,[],,240,120.0,增白,032080CJ-05W0044,增白,False,纱架,44.4,3,1030.0,1240.0,,,,
32,4628431,202405070171,8780360,1360.0,1970.0,79,1106,[],,240,120.0,增白,091100CDLS-24W11094,增白,False,纱架,39.0,4,1360.0,1970.0,,,,
