工件,作业标识号,生产物流号,合作序号,开始时间,结束时间,所选机器,机器号,续作机器,锁定机器,机器容量,切换时间,深浅色,色号,机器常染颜色1,机器常染颜色2,机器上一状态,能否荧光,轴型,优先级,生产顺序,开始时间,结束时间,锁定顺序,合作订单,合作生产物流号,合作染程用时
30,2215174,202405110248,8786142,1257.6598861666666,1427.6598861666666,26,711,[],,40,120.0,增白,032090CJR-24W10537,增白,['增白'],浅色,False,S,158.25,4,1257.6598861666666,1427.6598861666666,,,,
70,2216560,202405180216,8794907,1547.6598861666666,1717.6598861666666,26,711,[],,40,120.0,增白,021045CJ-05W0041,增白,['增白'],浅色,False,S,158.25,5,1547.6598861666666,1717.6598861666666,,,,
168,4634508,202405130048,8789618,0.0,160.0,27,1006,[],,40,120.0,浅浅,801030CJX-22W10124,深色,['深色'],,True,纱架,153.0,1,0.0,160.0,,,,
88,2216406,202405220162,8796123,0.0,140.0,29,206,[],,70,120.0,增白,042100CAJ-22W220098,增白,['增白'],增白,False,M,158.25,1,0.0,140.0,,,,
26,2216843,202405240017,8797345,260.0,400.0,29,206,[],,70,120.0,增白,041050HJ-23W402299,增白,['增白'],增白,False,S,157.5,2,260.0,400.0,,,,
157,4638372,202404210052,8779878,520.0,690.0,29,206,[],,70,120.0,增白,151060CAJ-23W10028,增白,['增白'],增白,False,纱架,156.0,3,520.0,690.0,,,,
138,4636027,202405220035,8795574,810.0,935.0,29,206,[],,70,120.0,增白,452020CK-23W11692,增白,['增白'],增白,False,纱架,72.85,4,810.0,935.0,,,,
44,2216658,202405100237,8785407,1055.0,1205.0,29,206,[],,70,120.0,增白,9E2100CAJR-23W10691,增白,['增白'],增白,False,S,64.0,5,1055.0,1205.0,,,,
184,4638996,202405170161,8792249,1325.0,1575.0,29,206,[],,70,120.0,增白,091050CDL-22W11568,增白,['增白'],增白,False,纱架,61.75,6,1325.0,1575.0,,,,
211,4638923,202405200012,8798471,1695.0,1875.0,29,206,[],,70,120.0,增白,041060CAJ-05W0004,增白,['增白'],增白,False,纱架,61.75,7,1695.0,1875.0,,,,
167,4638211,202405210056,8795267,236.75988616666666,796.7598861666667,30,207,[],,70,120.0,深色,041060CAJ-24B46461,深色,['深色'],深色,True,纱架,155.25,1,236.75988616666666,796.7598861666667,,,,
183,4638350,202405230063,8797595,916.7598861666667,1446.7598861666665,30,207,[],,70,120.0,深色,041020L-24B53539,深色,['深色'],深色,False,纱架,63.25,2,916.7598861666667,1446.7598861666665,,,,
84,2216842,202405240017,8797346,316.22655283333336,781.2265528333334,31,208,[],,70,120.0,深色,041050HJ-23G400608,深色,['深色'],深色,False,S,157.5,1,316.22655283333336,781.2265528333334,,,,
113,2216654,202405070061,8782076,901.2265528333334,1366.2265528333332,31,208,[],,70,120.0,中色,042120CJR-24G220051,深色,['深色'],深色,True,M,62.5,2,901.2265528333334,1366.2265528333332,,,,
126,4638373,202404210052,8779879,168.17655283333335,643.1765528333333,32,304,[],,70,120.0,浅色,151060CAJ-23B10034,浅色,['浅色'],中色,False,纱架,156.0,1,168.17655283333335,643.1765528333333,,,,
112,4639232,202404270027,8775553,763.1765528333333,1163.1765528333333,32,304,[],,70,120.0,浅浅,051016CA-23B11068,浅色,['浅色'],中色,True,纱架,85.75,2,763.1765528333333,1163.1765528333333,,,,
98,2216674,202405220170,8797173,1283.1765528333333,1748.1765528333333,32,304,[],,70,120.0,中色,042100CAJ-19B410814,浅色,['浅色'],中色,False,M,64.75,3,1283.1765528333333,1748.1765528333333,,,,
137,4638797,202405180280,8793786,1868.1765528333333,2028.1765528333333,32,304,[],,70,120.0,浅浅,552080CHKR-19W10026,浅色,['浅色'],中色,False,纱架,63.25,4,1868.1765528333333,2028.1765528333333,,,,
90,4638883,202405190093,8794482,2148.1765528333335,2573.1765528333335,32,304,[],,70,120.0,浅浅,041050CAJ-24H400475,浅色,['浅色'],中色,False,纱架,61.75,5,2148.1765528333335,2573.1765528333335,,,,
108,4634377,202405080185,8782703,0.0,405.0,33,305,[],,70,120.0,浅浅,223022CDA-24G10004,浅浅,['浅浅'],浅浅,False,蚕丝架,158.25,1,0.0,405.0,,,,
141,4637589,202405250152,8798284,545.0,970.0,33,305,[],,70,120.0,浅浅,041060CAJ-13R260119,浅浅,['浅浅'],浅浅,False,纱架,157.5,2,545.0,970.0,,,,
185,4638221,202405210062,8795297,1090.0,1515.0,33,305,[],,70,120.0,浅浅,041060CAJ-24B46480,浅浅,['浅浅'],浅浅,False,纱架,155.25,3,1090.0,1515.0,,,,
119,4637930,202405100141,8788307,1635.0,1985.0,33,305,[],,70,120.0,浅浅,0G1040CAKX-23B10496,浅浅,['浅浅'],浅浅,False,纱架,111.5,4,1635.0,1985.0,,,,
64,4636216,202405090223,8794821,0.0,425.0,34,508,[],,70,120.0,浅色,122080CJRX-24Y10063,浅色,['浅色'],浅浅,True,纱架,109.25,1,0.0,425.0,,,,
33,4638438,202404210052,8779881,545.0,670.0,34,508,[],,70,120.0,浅色,452120CAKR-23B11106,浅色,['浅色'],浅浅,False,纱架,108.5,2,545.0,670.0,,,,
133,4634911,202405080129,8781626,790.0,1215.0,34,508,[],,70,120.0,浅浅,041050CJ-23M400016,浅色,['浅色'],浅浅,True,纱架,100.5,3,790.0,1215.0,,,,
176,4639188,202405250251,8800172,1335.0,1460.0,34,508,[],,70,120.0,浅浅,452120CKR-24K10133,浅色,['浅色'],浅浅,True,纱架,64.0,4,1335.0,1460.0,,,,
45,2216652,202405070061,8782074,1580.0,1965.0,34,508,[],,70,120.0,浅色,042120CJR-24Y220032,浅色,['浅色'],浅浅,True,M,62.5,5,1580.0,1965.0,,,,
50,2216326,202405150166,8789368,0.0,140.0,35,606,[],,70,120.0,增白,042100CJ-15W71297,增白,['增白'],,False,S,161.25,1,0.0,140.0,,,,
