工件,作业标识号,生产物流号,合作序号,开始时间,结束时间,所选机器,机器号,续作机器,锁定机器,机器容量,切换时间,深浅色,色号,机器常染颜色,能否荧光,轴型,优先级,生产顺序,开始时间,结束时间,锁定顺序,合作订单,合作生产物流号,合作染程用时
61,4627677,202404180045,8766486,24290.0,24715.0,21,210,[],,40,120.0,浅浅,092096CJR-24H10234,浅浅,True,纱架,43.5,47,24290.0,24715.0,,,,
128,4627871,202405060117,8779298,0.0,425.0,22,211,[],,40,120.0,浅色,801060AJXS-23R10094,浅色,True,纱架,48.3,1,0.0,425.0,,,,
137,2213462,202404170162,8765827,545.0,970.0,22,211,[],,40,60.0,浅色,041090CAJ-14B154644,浅色,False,S,47.7,2,545.0,970.0,,,,
22,4626187,202404250052,8776985,1635.0,2060.0,22,211,[],,40,120.0,浅色,041050CAJ-24Y41253,浅色,True,纱架,47.4,3,1635.0,2060.0,,,,
154,2213163,202404270197,8776692,7815.0,8240.0,22,211,[],,40,60.0,浅色,042080HJ-17B1011770,浅色,False,S,47.4,4,7815.0,8240.0,,,,
114,4626591,202403310071,8751566,8420.0,8845.0,22,211,[],,40,120.0,浅色,452120CAKR-23B11106,浅色,False,纱架,46.5,5,8420.0,8845.0,,,,
76,4628414,202404250014,8773622,15145.0,15570.0,22,211,[],,40,120.0,中色,041050CAJ-24R42244,浅色,True,纱架,44.7,6,15145.0,15570.0,,,,
75,4628745,202404260157,8774759,15690.0,16115.0,22,211,[],,40,120.0,中色,041050CAJ-24R42239,浅色,True,纱架,44.4,7,15690.0,16115.0,,,,
84,4627320,202404110081,8760319,18840.0,19265.0,22,211,[],,40,120.0,中色,451040CAK-24B10751,浅色,False,纱架,43.5,8,18840.0,19265.0,,,,
86,4627316,202404110079,8760311,19930.0,20355.0,22,211,[],,40,120.0,浅色,451040CAK-24R10182,浅色,False,纱架,43.5,9,19930.0,20355.0,,,,
28,4628762,202404260007,8774098,545.0,970.0,23,212,[],,40,120.0,深色,041060CAJ-24Z43041,深色,True,纱架,47.7,1,545.0,970.0,,,,
21,4628751,202404250262,8774018,1575.0,2000.0,23,212,[],,40,120.0,深色,041050CAJ-24P40932,深色,True,纱架,47.4,2,1575.0,2000.0,,,,
35,4628769,202404270173,8777861,2180.0,2605.0,23,212,[],,40,120.0,深色,122080CAJX-24K10042,深色,False,纱架,47.4,3,2180.0,2605.0,,,,
153,2212848,202404180236,8767197,7330.0,7755.0,23,212,[],,40,60.0,深色,042080CAJ-24B401318,深色,False,S,47.4,4,7330.0,7755.0,,,,
12,4628776,202404200316,8770311,11025.0,11450.0,23,212,[],,40,120.0,深色,041020CL-24B47547,深色,True,纱架,45.3,5,11025.0,11450.0,,,,
70,4628731,202404260096,8774360,12115.0,12540.0,23,212,[],,40,120.0,深色,041050CAJ-24K41278,深色,False,纱架,44.4,6,12115.0,12540.0,,,,
54,4628772,202404270113,8777309,16235.0,16660.0,23,212,[],,40,120.0,深色,811050AJX-24B10056,深色,True,纱架,43.5,7,16235.0,16660.0,,,,
85,4627321,202404110082,8760323,16780.0,17205.0,23,212,[],,40,120.0,深色,451040CAK-24G10130,深色,False,纱架,43.5,8,16780.0,17205.0,,,,
118,4624170,202403020021,8719003,0.0,425.0,24,213,[],,40,120.0,中色,041060CAJS-23B700012,深色,True,纱架,50.7,1,0.0,425.0,,,,
18,4628749,202404250262,8774016,1090.0,1515.0,24,213,[],,40,120.0,中色,041050CAJ-24B49185,深色,True,纱架,47.4,2,1090.0,1515.0,,,,
136,2213274,202404140142,8764041,0.0,425.0,25,301,[],,40,60.0,深色,041040CAJ-24H40143,深色,False,S,47.7,1,0.0,425.0,,,,
2,4626268,202404240100,8775159,4905.0,5330.0,25,301,[],,40,120.0,中色,811030CAJX-24H10056,深色,True,纱架,46.5,2,4905.0,5330.0,,,,
31,4626506,202404250032,8777350,8965.0,9390.0,25,301,[],,40,120.0,深色,042100CAJ-24K220055,深色,True,纱架,46.5,3,8965.0,9390.0,,,,
126,4627972,202404110090,8759784,12115.0,12540.0,25,301,[],,40,120.0,深色,041080CAJS-24H650068,深色,False,纱架,44.7,4,12115.0,12540.0,,,,
55,4628771,202404270126,8777801,15690.0,16115.0,25,301,[],,40,120.0,深色,811050AJX-24R10026,深色,True,纱架,44.4,5,15690.0,16115.0,,,,
168,2213121,202404260073,8774796,0.0,425.0,26,711,[],,40,60.0,增白,041060CAJ-24W220025,增白,False,S,77.7,1,0.0,425.0,,,,
91,4628280,202405040098,8778586,485.0,910.0,26,711,[],,40,120.0,增白,041060CJS-23W650394,增白,False,纱架,71.7,2,485.0,910.0,,,,
33,4623448,202404190202,8767741,1030.0,1455.0,26,711,[],,40,120.0,增白,122100CJR-24W10351,增白,False,纱架,47.7,3,1030.0,1455.0,,,,
197,2213141,202403180076,8735149,6845.0,7270.0,26,711,[],,40,60.0,增白,032100CJ-24W10320,增白,False,S,47.7,4,6845.0,7270.0,,,,
